ts_code,tier,entry_score,green_count,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,position_size,partial_sold,realized_pnl,pnl_pct,exit_reason,capital_used
000888.SZ,2,78,6,20241206,20241210,13.557,20241217,13.812,5,1800,25000,True,829.42,3.4,MA5追踪出场,24427.11
300138.SZ,2,107,6,20241209,20241212,9.599,20241224,8.718,8,2600,25000,False,-2314.29,-9.26,硬止损-13%,24982.77
300791.SZ,2,80,5,20241211,20241212,29.82,20241225,27.081,9,800,25000,False,-2212.09,-9.26,硬止损-13%,23879.47
000998.SZ,1,115,7,20241216,20241217,11.323,20241227,11.527,8,4400,50000,False,848.2,1.7,横盘8天出场,49869.26
600153.SH,2,108,6,20241216,20241218,10.401,20241226,10.399,6,2400,25000,False,-28.8,-0.12,横盘6天出场,24986.79
605598.SH,2,98,6,20241216,20241217,20.781,20241230,20.781,9,1200,25000,True,304.75,1.22,成本止损,24962.71
600019.SH,1,118,7,20241220,20241223,7.004,20250103,6.866,8,7100,50000,False,-1026.7,-2.06,横盘8天出场,49777.99
002959.SZ,2,104,6,20241220,20241224,48.086,20250102,46.617,6,500,25000,False,-758.01,-3.15,横盘6天出场,24067.03
002155.SZ,2,104,6,20250124,20250205,18.056,20250213,17.964,6,1300,25000,False,-143.01,-0.61,横盘6天出场,23496.32
600050.SH,2,95,6,20250207,20250210,5.471,20250220,6.188,8,4500,25000,True,2868.21,11.64,MA5追踪出场,24643.76
688097.SH,2,101,5,20250207,20250210,28.487,20250217,25.871,5,800,25000,False,-2113.23,-9.26,硬止损-13%,22812.28
688319.SH,2,101,5,20250210,20250212,12.405,20250220,12.196,6,2000,25000,False,-442.79,-1.78,横盘6天出场,24834.33
688626.SH,2,103,6,20250213,20250214,33.487,20250227,36.876,9,700,25000,True,2470.74,10.53,MA5追踪出场,23464.23
000989.SZ,2,103,5,20250213,20250218,8.136,20250226,8.263,6,3000,25000,False,356.81,1.46,横盘6天出场,24433.13
688097.SH,1,122,7,20250214,20250219,28.667,20250228,28.667,7,1700,50000,True,1858.06,3.81,成本止损,48783.01
300304.SZ,2,107,6,20250217,20250219,8.828,20250227,8.683,6,2800,25000,False,-430.37,-1.74,横盘6天出场,24742.05
002255.SZ,2,103,5,20250217,20250221,6.453,20250303,6.397,6,3800,25000,False,-235.97,-0.96,横盘6天出场,24545.46
600596.SH,2,80,5,20250219,20250220,9.078,20250228,8.792,6,2700,25000,False,-795.24,-3.24,横盘6天出场,24535.43
002540.SZ,2,87,5,20250220,20250226,6.072,20250306,6.158,6,4100,25000,False,325.47,1.31,横盘6天出场,24920.59
001311.SZ,2,97,5,20250221,20250226,30.14,20250311,30.828,9,800,25000,False,525.79,2.18,横盘9天出场,24136.24
002367.SZ,2,99,6,20250224,20250226,7.214,20250306,7.226,6,3400,25000,False,13.24,0.05,横盘6天出场,24553.49
603310.SH,2,98,6,20250224,20250225,19.749,20250305,19.491,6,1200,25000,False,-333.57,-1.41,横盘6天出场,23723.0
301177.SZ,2,99,5,20250224,20250225,26.172,20250305,26.736,6,900,25000,False,483.7,2.05,横盘6天出场,23578.57
300532.SZ,2,91,5,20250225,20250226,13.667,20250306,13.852,6,1800,25000,False,307.99,1.25,横盘6天出场,24625.71
002243.SZ,2,102,5,20250227,20250304,9.078,20250313,9.222,7,2700,25000,False,362.28,1.48,横盘7天出场,24535.43
688548.SH,2,105,6,20250228,20250306,11.333,20250312,10.292,4,2200,25000,False,-2311.88,-9.26,硬止损-13%,24956.7
002367.SZ,2,108,5,20250304,20250310,7.415,20250318,7.435,6,3300,25000,False,42.45,0.17,横盘6天出场,24493.31
002158.SZ,2,93,5,20250304,20250307,20.721,20250314,21.327,5,1200,25000,True,1411.35,5.67,MA5追踪出场,24890.5
002540.SZ,2,89,5,20250304,20250305,6.202,20250313,6.118,6,4000,25000,False,-363.03,-1.46,横盘6天出场,24834.33
601609.SH,2,100,6,20250305,20250307,6.313,20250317,6.277,6,3900,25000,False,-161.68,-0.66,横盘6天出场,24643.76
605099.SH,2,98,6,20250306,20250312,22.044,20250320,21.477,6,1100,25000,False,-647.37,-2.67,横盘6天出场,24272.65
002498.SZ,2,81,5,20250310,20250312,3.547,20250320,3.623,6,7000,25000,False,504.26,2.03,横盘6天出场,24854.39
688548.SH,2,96,5,20250311,20250317,11.283,20250325,11.108,6,2200,25000,False,-408.95,-1.65,横盘6天出场,24846.37
605016.SH,2,75,5,20250319,20250324,20.691,20250401,21.257,6,1200,25000,False,653.81,2.63,横盘6天出场,24854.39
601226.SH,2,97,6,20250320,20250321,7.615,20250328,6.916,5,3200,25000,False,-2259.66,-9.26,硬止损-13%,24393.01
000935.SZ,2,104,6,20250506,20250512,16.323,20250523,16.477,9,1500,25000,True,640.58,2.61,MA5追踪出场,24508.35
603698.SH,2,94,6,20250506,20250508,17.295,20250516,17.136,6,1400,25000,False,-246.39,-1.02,横盘6天出场,24236.54
300470.SZ,2,81,5,20250507,20250508,38.367,20250714,37.156,46,600,25000,False,-748.92,-3.25,横盘46天出场,23042.97
688037.SH,1,109,7,20250508,20250513,98.958,20250605,96.507,16,500,50000,False,-1273.71,-2.57,横盘16天出场,49528.24
002080.SZ,2,91,5,20250512,20250514,14.98,20250522,16.337,6,1600,25000,True,2140.65,8.92,MA5追踪出场,23991.81
000935.SZ,2,99,5,20250513,20250519,17.535,20250529,17.016,8,1400,25000,False,-750.56,-3.05,横盘8天出场,24573.55
003039.SZ,1,113,7,20250514,20250519,13.978,20250529,14.311,8,3500,50000,False,1116.88,2.28,横盘8天出场,48971.57
600012.SH,2,103,6,20250514,20250519,17.595,20250527,17.265,6,1400,25000,False,-485.78,-1.97,横盘6天出场,24657.8
600346.SH,2,85,6,20250514,20250515,15.842,20250523,15.519,6,1500,25000,False,-507.36,-2.13,横盘6天出场,23786.19
300748.SZ,2,100,5,20250514,20250516,21.703,20250527,19.711,7,1100,25000,False,-2213.76,-9.26,硬止损-13%,23897.53
000513.SZ,2,97,5,20250520,20250522,36.583,20250530,36.327,6,600,25000,False,-175.29,-0.8,横盘6天出场,21971.76
003039.SZ,1,111,7,20250522,20250526,14.028,20250606,13.992,8,3500,50000,False,-175.11,-0.36,横盘8天出场,49147.1
300741.SZ,2,110,6,20250529,20250604,20.601,20250606,18.71,2,1200,25000,False,-2292.37,-9.26,硬止损-13%,24746.07
003031.SZ,2,104,5,20250529,20250605,48.377,20250616,47.136,7,500,25000,False,-644.08,-2.66,横盘7天出场,24212.47
600111.SH,1,123,7,20250625,20250630,24.95,20250731,37.425,23,2000,50000,True,19493.33,39.03,MA5追踪出场,49949.5
001258.SZ,2,100,6,20250701,20250707,7.495,20250716,7.275,7,3300,25000,False,-748.49,-3.02,横盘7天出场,24758.1
300398.SZ,1,108,7,20250703,20250708,20.371,20250725,19.75,13,2400,50000,False,-1535.98,-3.14,横盘13天出场,48938.47
600111.SH,1,106,7,20250703,20250708,24.94,20250731,37.425,17,2000,50000,True,19506.52,39.07,MA5追踪出场,49929.44
000722.SZ,2,116,6,20250703,20250707,14.168,20250715,12.867,6,1700,25000,False,-2233.46,-9.26,硬止损-13%,24110.16
601377.SH,1,117,7,20250704,20250710,6.323,20250722,6.467,8,7900,50000,False,1089.83,2.18,横盘8天出场,49998.65
688248.SH,2,107,6,20250704,20250707,35.531,20250721,34.96,10,700,25000,False,-424.16,-1.7,横盘10天出场,24896.52
000920.SZ,2,106,6,20250704,20250708,12.585,20250711,11.43,3,1900,25000,False,-2217.29,-9.26,硬止损-13%,23935.64
688563.SH,1,117,7,20250707,20250711,57.525,20250723,56.976,8,800,50000,False,-484.78,-1.05,横盘8天出场,46065.88
603019.SH,2,103,6,20250711,20250715,69.859,20250723,68.513,6,300,25000,False,-424.58,-2.02,横盘6天出场,20978.79
600895.SH,2,92,6,20250711,20250716,25.751,20250804,32.086,13,900,25000,True,4355.95,18.78,MA5追踪出场,23199.44
600206.SH,2,104,5,20250714,20250718,19.589,20250728,19.8,6,1200,25000,False,229.7,0.98,横盘6天出场,23530.43
002440.SZ,1,115,7,20250715,20250721,8.006,20250903,6.951,32,6200,50000,False,-6582.29,-13.25,硬止损-13%,49686.71
