ticker,pool,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,entry_score,exit_reason,capital_used,dyn_signal
NVS,C,2025-09-22,2025-09-23,119.477,2025-10-28,119.664,25,83,False,10.63,0.11,102,横盘25天出场,9921.51,ACCUMULATING
AIR,C,2025-09-22,2025-09-23,77.237,2025-10-03,81.718,8,129,True,767.71,7.7,97,MA10追踪出场,9968.58,ACCUMULATING
ACB,C,2025-09-23,2025-09-24,5.025,2025-10-10,5.295,12,1990,True,823.06,8.23,113,MA10追踪出场,10004.79,ACCUMULATING
NVST,C,2025-09-23,2025-09-24,20.801,2025-10-10,19.325,12,480,False,-712.83,-7.14,101,硬止损-7%,9989.37,ACCUMULATING
FNF,C,2025-09-23,2025-09-24,56.041,2025-10-10,52.066,12,178,False,-712.18,-7.14,97,硬止损-7%,9980.3,ACCUMULATING
MP,C,2025-09-24,2025-09-25,70.57,2025-10-01,65.565,4,141,False,-710.41,-7.14,109,硬止损-7%,9955.42,ACCUMULATING
FLS,C,2025-09-24,2025-09-25,54.057,2025-10-10,50.223,11,184,False,-710.13,-7.14,103,硬止损-7%,9951.47,ACCUMULATING
XHR,C,2025-09-24,2025-09-25,13.912,2025-10-06,12.925,7,718,False,-713.12,-7.14,98,硬止损-7%,9993.48,ACCUMULATING
EDU,C,2025-09-25,2025-09-26,50.651,2025-10-28,58.501,22,197,True,1495.63,14.98,98,MA10追踪出场,9983.16,ACCUMULATING
KODK,C,2025-09-26,2025-09-29,6.286,2025-10-17,6.563,14,1590,True,631.26,6.31,100,MA10追踪出场,10000.18,ACCUMULATING
EME,C,2025-09-26,2025-09-29,643.7,2025-10-22,661.543,17,15,False,262.68,2.72,78,横盘17天出场,9660.33,ACCUMULATING
ABEV,C,2025-09-26,2025-09-29,2.322,2025-10-07,2.158,6,4306,False,-713.94,-7.14,72,硬止损-7%,10004.91,WASHING
FBK,C,2025-09-29,2025-09-30,55.323,2025-10-17,51.399,13,180,False,-710.96,-7.14,66,硬止损-7%,9963.17,ACCUMULATING
SNN,C,2025-10-01,2025-10-02,35.567,2025-10-23,35.909,15,281,False,90.94,0.91,88,横盘15天出场,9999.44,ACCUMULATING
LYG,C,2025-10-02,2025-10-03,4.475,2025-10-24,4.456,15,2234,False,-46.73,-0.47,69,横盘15天出场,10001.87,ACCUMULATING
AWI,C,2025-10-03,2025-10-06,197.981,2025-10-27,201.676,15,50,False,179.7,1.81,113,横盘15天出场,9904.0,ACCUMULATING
FVRR,C,2025-10-06,2025-10-07,24.304,2025-10-10,22.58,3,411,False,-713.16,-7.14,124,硬止损-7%,9994.05,ACCUMULATING
AIR,C,2025-10-09,2025-10-10,81.081,2025-11-06,82.168,19,123,False,128.62,1.29,117,横盘19天出场,9977.95,ACCUMULATING
