ticker,pool,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,entry_score,exit_reason,capital_used,dyn_signal
AMRX,C,2026-03-02,2026-03-03,13.433,2026-03-12,12.481,7,744,False,-713.55,-7.14,78,硬止损-7%,9999.46,ACCUMULATING
EB,C,2026-03-04,2026-03-05,4.464,2026-03-09,4.505,2,2239,False,86.82,0.87,80,持仓40天强制出场,10000.92,WASHING
OXM,C,2026-03-05,2026-03-06,38.049,2026-03-09,35.35,1,262,False,-711.71,-7.14,120,硬止损-7%,9973.72,ACCUMULATING
BDN,C,2026-03-05,2026-03-06,2.99,2026-03-19,2.778,9,3344,False,-713.84,-7.14,105,硬止损-7%,10003.58,ACCUMULATING
LW,C,2026-03-06,2026-03-09,46.106,2026-03-12,42.836,3,216,False,-711.01,-7.14,99,硬止损-7%,9963.89,ACCUMULATING
DDD,C,2026-03-10,2026-03-11,2.422,2026-03-18,2.251,5,4128,False,-713.93,-7.14,90,硬止损-7%,10004.75,ACCUMULATING
ATGE,C,2026-03-17,2026-03-18,106.747,2026-04-17,117.792,21,93,False,1021.75,10.29,108,持仓40天强制出场,9932.4,ACCUMULATING
KW,C,2026-03-17,2026-03-18,10.772,2026-04-09,10.849,15,928,False,66.69,0.67,105,横盘15天出场,10001.28,ACCUMULATING
BIIB,C,2026-03-17,2026-03-18,184.314,2026-03-31,171.241,9,54,False,-710.59,-7.14,89,硬止损-7%,9957.94,ACCUMULATING
CCO,C,2026-03-18,2026-03-19,2.382,2026-04-10,2.368,15,4197,False,-66.88,-0.67,100,横盘15天出场,10003.85,ACCUMULATING
FFIV,C,2026-03-19,2026-03-20,291.351,2026-04-13,297.772,15,34,False,213.25,2.15,82,横盘15天出场,9910.89,ACCUMULATING
UAMY,C,2026-03-24,2026-03-25,9.64,2026-03-26,8.956,1,1037,False,-713.68,-7.14,121,硬止损-7%,10001.29,ACCUMULATING
AMX,C,2026-03-30,2026-03-31,24.975,2026-04-17,26.344,12,400,False,542.2,5.42,108,持仓40天强制出场,9994.98,ACCUMULATING
AZN,C,2026-03-30,2026-03-31,195.045,2026-04-17,204.595,12,51,False,481.85,4.84,79,持仓40天强制出场,9952.26,ACCUMULATING
ATGE,C,2026-03-31,2026-04-01,116.827,2026-04-17,117.792,11,85,False,77.05,0.78,82,持仓40天强制出场,9935.24,ACCUMULATING
MRNA,C,2026-04-02,2026-04-06,49.119,2026-04-17,53.666,9,203,True,953.76,9.56,87,持仓40天强制出场,9976.16,ACCUMULATING
LRN,C,2026-04-02,2026-04-06,89.219,2026-04-17,98.342,9,112,False,1016.21,10.16,72,持仓40天强制出场,9997.54,ACCUMULATING
SEM,C,2026-04-02,2026-04-06,16.356,2026-04-17,16.374,9,611,False,5.55,0.06,66,持仓40天强制出场,9998.72,ACCUMULATING
LODE,C,2026-04-06,2026-04-07,3.423,2026-04-09,3.181,2,2921,False,-713.93,-7.14,67,硬止损-7%,10004.81,ACCUMULATING
ALX,C,2026-04-08,2026-04-09,238.769,2026-04-17,251.898,6,41,False,533.14,5.44,89,持仓40天强制出场,9794.4,ACCUMULATING
MCB,C,2026-04-08,2026-04-09,88.208,2026-04-17,88.931,6,113,False,76.66,0.77,83,持仓40天强制出场,9972.5,ACCUMULATING
TAL,C,2026-04-13,2026-04-14,11.311,2026-04-17,12.627,3,884,True,1104.98,11.05,91,持仓40天强制出场,10004.19,ACCUMULATING
SSTK,C,2026-04-14,2026-04-15,17.728,2026-04-17,17.672,2,564,False,-36.23,-0.36,100,持仓40天强制出场,10003.43,WASHING
EA,C,2026-04-14,2026-04-15,203.453,2026-04-17,203.626,2,49,False,3.48,0.03,80,持仓40天强制出场,9974.19,ACCUMULATING
ATGE,C,2026-04-15,2026-04-16,112.853,2026-04-17,117.792,1,88,False,429.48,4.32,113,持仓40天强制出场,9936.01,ACCUMULATING
ZTO,C,2026-04-16,2026-04-17,25.155,2026-04-17,25.075,0,397,False,-36.83,-0.37,72,持仓40天强制出场,9991.58,ACCUMULATING
