ts_code,entry_score,green_count,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,exit_reason
000935.SZ,104,6,20250506,20250512,16.323,20250523,16.477,9,2400,True,1024.93,2.61,MA10追踪出场
603698.SH,94,6,20250506,20250508,17.295,20250529,17.715,15,2300,False,925.21,2.32,横盘15天出场
688037.SH,109,7,20250508,20250513,98.958,20250530,91.846,13,400,False,-2881.17,-7.27,硬止损-9%
003039.SZ,113,7,20250514,20250519,13.978,20250610,13.892,15,2800,False,-278.97,-0.71,横盘15天出场
000935.SZ,106,6,20250514,20250519,17.535,20250527,16.275,6,2200,False,-2807.95,-7.27,硬止损-9%
600012.SH,103,6,20250514,20250519,17.595,20250610,17.495,15,2200,False,-258.88,-0.67,横盘15天出场
003039.SZ,111,7,20250522,20250526,14.028,20250617,13.643,15,2800,False,-1117.15,-2.84,横盘15天出场
300741.SZ,110,6,20250529,20250604,20.601,20250605,19.121,1,1900,False,-2849.08,-7.27,硬止损-9%
600577.SH,110,6,20250603,20250609,7.715,20250619,7.715,8,5100,True,60.78,0.15,成本止损
600111.SH,123,7,20250625,20250630,24.95,20250801,35.928,24,1600,True,13516.47,33.83,MA10追踪出场
001258.SZ,100,6,20250701,20250707,7.495,20250728,7.265,15,5300,False,-1254.96,-3.16,横盘15天出场
300398.SZ,108,7,20250703,20250708,20.371,20250715,18.907,5,1900,False,-2817.21,-7.27,硬止损-9%
600111.SH,106,7,20250703,20250708,24.94,20250801,35.928,18,1600,True,13526.9,33.87,MA10追踪出场
601377.SH,117,7,20250704,20250710,6.323,20250731,6.487,15,6300,False,994.73,2.49,横盘15天出场
688248.SH,107,6,20250704,20250707,35.531,20250715,32.978,6,1100,False,-2844.85,-7.27,硬止损-9%
688563.SH,117,7,20250707,20250711,57.525,20250801,57.635,15,600,False,31.23,0.09,横盘15天出场
603019.SH,103,6,20250711,20250715,69.859,20250805,69.092,15,500,False,-418.5,-1.2,横盘15天出场
600895.SH,92,6,20250711,20250716,25.751,20250814,33.473,21,1500,True,8645.75,22.36,MA10追踪出场
002440.SZ,115,7,20250715,20250721,8.006,20250828,7.431,28,4900,False,-2855.43,-7.27,硬止损-9%
002761.SZ,109,7,20250715,20250721,9.639,20250730,9.701,7,4100,True,574.55,1.45,MA10追踪出场
002378.SZ,115,6,20250716,20250718,8.577,20250731,9.172,9,4600,True,3320.62,8.41,MA10追踪出场
601156.SH,104,6,20250716,20250721,13.918,20250905,14.75,34,2800,True,2963.12,7.6,MA21追踪出场
002079.SZ,118,6,20250717,20250722,10.22,20250812,10.2,15,3900,False,-121.05,-0.3,横盘15天出场
600053.SH,112,7,20250718,20250723,16.222,20250820,18.243,20,2400,True,4487.72,11.52,MA10追踪出场
688173.SH,84,6,20250718,20250722,14.499,20250725,13.457,3,2700,False,-2849.45,-7.27,硬止损-9%
600336.SH,104,6,20250722,20250724,7.224,20250814,7.325,15,5500,False,514.66,1.29,横盘15天出场
002338.SZ,116,7,20250723,20250724,47.495,20250826,53.782,23,800,True,4211.24,11.07,MA10追踪出场
300398.SZ,98,6,20250724,20250728,20.07,20250826,23.333,21,1900,True,5640.42,14.78,MA10追踪出场
600789.SH,88,6,20250724,20250728,10.932,20250814,10.146,13,3600,False,-2864.54,-7.27,硬止损-9%
002489.SZ,102,6,20250725,20250730,3.878,20250820,3.892,15,10300,False,108.85,0.27,横盘15天出场
000905.SZ,108,6,20250728,20250730,8.627,20250820,8.353,15,4600,False,-1298.64,-3.27,横盘15天出场
301571.SZ,108,6,20250729,20250804,48.246,20250902,48.246,21,800,True,754.31,1.95,成本止损
600172.SH,114,7,20250730,20250805,4.569,20250820,4.91,11,8700,True,3329.11,8.37,MA10追踪出场
601236.SH,119,7,20250731,20250801,8.858,20250827,9.421,18,4500,True,2777.23,6.96,MA10追踪出场
002338.SZ,116,6,20250801,20250805,49.99,20250826,53.782,15,800,True,3357.82,8.39,MA10追踪出场
002191.SZ,103,6,20250805,20250811,4.098,20250902,4.321,16,9700,True,2952.24,7.42,MA10追踪出场
