ts_code,trade_date,close,score,green_count,s_vol,s_conc,s_drift,s_wr,s_peak,s_ma,s_dyn,signal,signal_cn,conc_change,drift_pct,action_level,priority,med_cost,main_peak,winner_ratio
603153.SH,20251031,19.15,77,4,14,15,6,15,15,0,12,WASHING,🟡 底部洗盘,-0.0231,-0.0037,🟢 信号确认,0,19.0,19.15,0.6025
688188.SH,20251031,136.9,70,4,18,22,18,4,6,-10,12,ACCUMULATING,🔥 主力吸筹,-0.1425,0.039,🟢 接近,1,144.92,142.2,0.0987
600409.SH,20251031,5.7,63,4,14,6,6,15,15,-5,12,WASHING,🟡 底部洗盘,-0.0056,0.0,🟢 接近,1,5.63,5.58,0.6306
600586.SH,20251031,5.25,71,3,12,18,6,8,15,0,12,WASHING,🟡 底部洗盘,-0.0273,0.0039,🟢 接近,1,5.1,5.06,0.7275
300244.SZ,20251031,16.28,67,3,10,12,8,15,15,-5,12,ACCUMULATING,🔥 主力吸筹,-0.0167,0.0056,🟢 接近,1,16.16,15.74,0.5685
000800.SZ,20251031,7.18,75,2,13,15,12,8,15,0,12,WASHING,🟡 底部洗盘,-0.02,-0.0042,🟢 信号确认,0,7.11,7.04,0.7136
600621.SH,20251103,16.59,114,7,18,25,21,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0739,0.0216,🟢 信号确认,0,16.57,16.57,0.5012
601059.SH,20251103,18.87,103,5,14,25,25,10,12,5,12,ACCUMULATING,🔥 主力吸筹,-0.0693,0.0758,🟢 信号确认,0,19.31,19.41,0.3406
603277.SH,20251103,18.06,100,5,18,25,25,10,15,-5,12,ACCUMULATING,🔥 主力吸筹,-0.1186,0.0616,🟢 信号确认,0,18.27,18.03,0.4128
301286.SZ,20251103,27.42,98,5,18,15,11,15,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.025,0.0082,🟢 信号确认,0,27.14,27.14,0.6459
600864.SH,20251103,7.44,98,5,18,25,21,10,12,0,12,ACCUMULATING,🔥 主力吸筹,-0.1239,0.0272,🟢 信号确认,0,7.55,7.51,0.3684
301047.SZ,20251103,76.53,92,5,20,6,12,15,15,8,16,ACCUMULATING,🔥 主力吸筹,-0.0102,0.0186,🟢 信号确认,0,74.49,73.8,0.6609
002304.SZ,20251103,70.9,91,5,18,15,8,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0176,0.0056,🟢 信号确认,0,69.95,69.95,0.6486
300019.SZ,20251103,22.26,87,5,17,25,8,15,15,-5,12,ACCUMULATING,🔥 主力吸筹,-0.075,0.006,🟢 信号确认,0,21.84,22.21,0.6398
301381.SZ,20251103,24.17,86,5,18,12,6,15,15,8,12,WASHING,🟡 底部洗盘,-0.0151,0.0,🟢 信号确认,0,23.91,24.15,0.6152
000967.SZ,20251103,7.13,79,5,18,18,6,15,15,-5,12,WASHING,🟡 底部洗盘,-0.0258,0.0,🟢 信号确认,0,6.99,6.89,0.6938
688188.SH,20251103,137.98,75,5,18,21,18,4,12,-10,12,ACCUMULATING,🔥 主力吸筹,-0.0492,0.0258,🟢 信号确认,0,144.01,142.2,0.1563
688429.SH,20251103,16.35,83,4,18,18,9,8,10,8,12,ACCUMULATING,🔥 主力吸筹,-0.0391,0.0051,🟢 信号确认,0,15.77,15.52,0.74
002884.SZ,20251103,17.41,80,4,14,12,7,15,15,5,12,WASHING,🟡 底部洗盘,-0.0143,-0.0035,🟢 信号确认,0,17.23,17.35,0.6961
600741.SH,20251103,20.15,79,4,14,12,6,15,15,5,12,WASHING,🟡 底部洗盘,-0.0109,0.0,🟢 信号确认,0,20.04,20.04,0.5529
300244.SZ,20251103,16.56,75,4,14,18,6,15,10,0,12,WASHING,🟡 底部洗盘,-0.0364,0.0,🟢 信号确认,0,16.16,15.74,0.6549
600409.SH,20251103,5.65,72,4,14,15,6,15,15,-5,12,WASHING,🟡 底部洗盘,-0.0233,-0.0035,🟢 接近,1,5.65,5.65,0.5541
603153.SH,20251103,19.36,78,3,10,15,6,15,15,5,12,WASHING,🟡 底部洗盘,-0.0192,-0.0037,🟢 信号确认,0,19.0,19.15,0.6861
300161.SZ,20251103,30.86,73,3,12,18,8,8,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.0256,0.0094,🟢 接近,1,29.98,29.84,0.746
603888.SH,20251111,20.16,93,6,16,21,6,15,15,8,12,WASHING,🟡 底部洗盘,-0.0524,0.004,🟢 信号确认,0,20.09,19.41,0.5242
